,reactions,extern reactions,metabolites,extern metabolites
e_coli_core.xml,95,20,72,20
mmsyn_sm00.xml,253,56,245,56
mmsyn_sm01.xml,255,57,246,57
mmsyn_sm02.xml,257,58,247,58
mmsyn_sm03.xml,260,59,249,59
mmsyn_sm04.xml,263,60,251,60
mmsyn_sm05.xml,266,61,253,61
mmsyn_sm06.xml,269,62,255,62
mmsyn_sm07.xml,272,63,257,63
mmsyn_sm08.xml,275,64,259,64
mmsyn_sm09.xml,278,65,261,65
mmsyn_sm10.xml,281,66,263,66
mmsyn_sm11.xml,284,67,265,67
mmsyn_sm12.xml,287,68,267,68
mmsyn_sm13.xml,290,69,269,69
mmsyn_sm14.xml,293,70,271,70
mmsyn_sm15.xml,296,71,273,71
mmsyn_sm16.xml,299,72,275,72
mmsyn_sm17.xml,302,73,277,73
mmsyn_sm18.xml,305,74,279,74
mmsyn_sm19.xml,308,75,281,75
mmsyn_sm20.xml,311,76,283,76
mmsyn_sm21.xml,314,77,285,77
mmsyn_sm22.xml,316,78,286,78
